,BTC-USD,ETH-USD,BNB-USD,SOL-USD,XRP-USD,SHIB-USD,DOGE-USD
2024-03-20,0.7796368403338051,2.997943378256266e-12,0.127906526919067,4.770583743298515e-13,8.123719954412325e-13,0.092456632742575,2.656022596384874e-13
2024-03-21,0.7796368403332717,1.2301650007071953e-12,0.127906526920904,2.07413595213867e-13,3.6219936851705475e-13,0.09245663274389795,1.2672823525628758e-13
2024-03-22,0.7796368403330408,4.940913374722466e-13,0.127906526921664,8.90309019814839e-14,1.428851033757213e-13,0.09245663274451595,5.326368724855022e-14
2024-03-25,0.7796368403330389,1.937430492625004e-12,0.12790652692063087,3.0256691435004056e-13,4.948953616392167e-13,0.09245663274342276,1.725737541196833e-13
2024-03-26,0.7796368403330932,2.475429036464259e-12,0.12790652691985363,4.090309151051308e-13,6.550954975759091e-13,0.09245663274327723,2.3640534556624885e-13
2024-03-27,0.7796368403330929,3.0680232452308275e-12,0.1279065269188723,5.606304268806074e-13,8.948987014305454e-13,0.09245663274318311,3.281504740875049e-13
2024-03-28,0.7796368403296752,6.3600011004940855e-12,0.12790652691743107,1.051499086043782e-12,1.5657544824563846e-12,0.09245663274323357,6.829040883407681e-13
2024-04-01,0.7796368403262318,7.044530341774328e-12,0.12790652691628426,1.068676807495801e-12,1.5868242886118436e-12,0.09245663274701676,7.671740378467156e-13
2024-04-02,0.7796368403327844,2.6285477185600977e-12,0.12790652692005672,4.278434166142642e-13,6.159771821356581e-13,0.09245663274323365,2.530086815123202e-13
2024-04-03,0.7947111773136619,0.005353098804992476,0.1873918979666933,1.1655616249096836e-11,6.995483844275049e-12,0.012543825894719902,1.2813450987820256e-12
2024-04-04,0.7947111773000469,0.005353098808319806,0.18739189797358002,1.348270252279987e-11,7.588231177819344e-12,0.012543825895614783,1.3675776809599072e-12
2024-04-05,0.7947111773489516,0.005353098763629289,0.18739189797636252,8.39726951778653e-12,5.0606843649459055e-12,0.012543825896683184,9.15351452830275e-13
2024-04-08,0.7947111773499448,0.005353098759064844,0.1873918979791312,7.862073323393878e-12,4.91345349526731e-12,0.012543825898192017,8.915227777414241e-13
2024-04-09,0.7947111773200237,0.005353098800937209,0.18739189796041203,1.1787986794271794e-11,7.859078658693042e-12,0.012543825897494471,1.4855842054682166e-12
2024-04-10,0.7947111773489659,0.005353098776395621,0.18739189796119346,8.595315016152936e-12,5.542358827685021e-12,0.012543825898310972,9.963800136263292e-13
2024-04-11,0.7947111773256144,0.005353098782080091,0.1873918979798465,9.793559625248723e-12,5.9618030712292455e-12,0.012543825895660084,1.0434320649196094e-12
2024-04-12,0.7947111773368516,0.0053530987950126865,0.18739189795151454,9.356059468801397e-12,6.189320621487018e-12,0.012543825900017362,1.058513205510718e-12
2024-04-15,0.7947111774466865,0.005353098784330336,0.18739189785153026,3.750571861090907e-13,3.2561398371361653e-13,0.01254382591670433,4.79961143091199e-14
2024-04-16,0.534495500992667,0.3322858374022545,0.13321866160134396,4.0782753825000026e-13,2.1976388502886018e-13,3.071303340876801e-12,3.589380212973229e-14
2024-04-17,0.5344955009980639,0.3322858373942261,0.13321866160179635,3.080845878186319e-13,2.1341803564976006e-13,5.35331784196764e-12,3.8818458239092026e-14
2024-04-18,0.5344955009992263,0.3322858373930819,0.1332186616022459,2.7266972060084815e-13,2.0971958777502228e-13,4.924808911629852e-12,3.8681946176897926e-14
2024-04-19,0.5344955009973084,0.33228583739598977,0.13321866160278892,2.761320485395934e-13,2.017231148497916e-13,3.3977903935086606e-12,3.7256914815285105e-14
2024-04-22,0.5052171906059588,0.35313118332013005,0.14165162607103648,8.406246429832567e-13,5.346629583760969e-13,1.416318086200296e-12,8.31449156377383e-14
2024-04-23,0.5216761758791845,0.3108590172895992,0.16746480681066042,4.05829192496992e-12,3.829923162673638e-12,1.2049614092843002e-11,6.179698920904872e-13
2024-04-24,0.5052171906059145,0.35313118332030397,0.14165162607021237,9.998980172556391e-13,6.300419247962182e-13,1.8453630237304804e-12,9.372239346655704e-14
2024-04-25,0.5052171905937546,0.35313118334978627,0.1416516260523516,1.1841286181684342e-12,7.266983950649822e-13,2.089120846345936e-12,1.0744520009679406e-13
2024-04-26,0.5052171905874381,0.35313118336499244,0.14165162604372197,1.11870194591421e-12,6.827477150487314e-13,1.9459187776574146e-12,1.0026423707414012e-13
2024-04-29,0.505217190587304,0.3531311833646675,0.14165162604409012,1.1622537485147586e-12,7.167881008810956e-13,1.9547241238312588e-12,1.0464374225673856e-13
2024-04-30,0.5052171905767772,0.3531311833911453,0.14165162602942266,8.085006652108601e-13,4.978034433727383e-13,1.27664420319779e-12,7.19724229290395e-14
2024-05-01,0.5344954990144357,0.33228583880626067,0.13321866216093817,4.138790900633178e-12,8.531834194049633e-12,5.321601508067338e-12,3.7318261467158107e-13
2024-05-02,0.5344955007345688,0.3322858375831469,0.13321866166955312,2.893160270483404e-12,5.910115786280491e-12,3.6775580377197974e-12,2.505341694137627e-13
2024-05-03,0.534495500602031,0.33228583767714587,0.1332186617065136,3.3548006527013564e-12,6.649328774970736e-12,4.039792048105665e-12,2.6559425051184523e-13
2024-05-06,0.5344955009869098,0.33228583740616635,0.13321866160473814,5.13175272962389e-13,9.678410438726423e-13,6.612068641058813e-13,4.3514448260486626e-14
2024-05-07,0.5344955009864444,0.3322858374063065,0.13321866160444065,7.078700040675843e-13,1.229357287215035e-12,8.195586359104594e-13,5.170423710947885e-14
2024-05-08,0.5344955009869522,0.332285837405022,0.13321866160416646,1.0153155691632945e-12,1.604210810321351e-12,1.1775041857844617e-12,6.242417507012204e-14
2024-05-09,0.521676176065598,0.31085901665028637,0.16746480728092436,4.64046717579378e-13,9.044676539340591e-13,1.736246084100675e-12,8.640421364686616e-14
2024-05-10,0.5216761760704165,0.310859016644849,0.16746480728163388,4.594993147059356e-13,8.719282158871527e-13,1.6843648216998402e-12,8.476762641446685e-14
2024-05-13,0.5216761760770068,0.3108590166381204,0.16746480728162563,4.796917612411184e-13,9.18602460605981e-13,1.7597592946557587e-12,8.906670923496337e-14
2024-05-14,0.5216761760985238,0.3108590166158148,0.16746480728247942,4.610984330753344e-13,8.740018631339855e-13,1.760904782494124e-12,8.60031002340513e-14
2024-05-15,0.5216761762810798,0.310859016443954,0.16746480726932264,7.860855195338369e-13,1.4913480870316976e-12,3.218817075699897e-12,1.4723396341086114e-13
2024-05-16,0.5216761777154193,0.3108590150485717,0.16746480722873738,9.810224060895518e-13,1.8014662568483511e-12,4.312173627499117e-12,1.768567742690325e-13
2024-05-17,0.5517887982610756,0.2814034991242888,0.16680770258430755,3.920685868176017e-12,7.22232355405131e-12,1.8508743771470597e-11,6.762687660464733e-13
2024-05-20,0.5216761764879398,0.3108590162632412,0.16746480723982515,1.272824317953538e-12,2.21960714404577e-12,5.281665918507655e-12,2.1983558937519e-13
2024-05-21,0.5216761755662735,0.3108590182879025,0.1674648060899249,9.344217433653625e-12,1.4673925547482672e-11,3.031629147108785e-11,1.5646240231294843e-12
2024-05-22,0.521676175222538,0.31085901900599733,0.1674648057265107,7.68993871851044e-12,1.2257905142390572e-11,2.3682266345887704e-11,1.3239318472922051e-12
2024-05-23,0.5216761753863298,0.31085901859013965,0.16746480597807623,7.956179840571216e-12,1.254066418625713e-11,2.3606562229980957e-11,1.3509459885993195e-12
2024-05-24,0.5216761743366429,0.3108590211354468,0.16746480450908205,3.2641901420583025e-12,5.193993185575646e-12,9.81128041773772e-12,5.589134634127954e-13
2024-05-28,0.5216761751282363,0.31085901926397275,0.16746480556319088,7.780028035772385e-12,1.2569223229093544e-11,2.2918169917496495e-11,1.3327933947232537e-12
2024-05-29,0.5052171906165218,0.35313118327709997,0.14165162609911292,1.787413580110275e-12,2.064672343033531e-12,3.0478581465421524e-12,3.652770408288395e-13
2024-05-30,0.5216761740499346,0.3108590219184165,0.16746480399518085,6.464452472382978e-12,9.612768107325219e-12,1.9240041804053416e-11,1.150695740873185e-12
2024-05-31,0.5216761753950209,0.3108590185843871,0.16746480597169425,8.096361506970194e-12,1.2578991181824941e-11,2.680171725268428e-11,1.4208244437888471e-12
2024-06-03,0.5216761752229175,0.31085901899196355,0.16746480574018807,7.670964274577945e-12,1.1912057724510521e-11,2.4002078868826993e-11,1.3457251902572723e-12
2024-06-04,0.5216761759629351,0.3108590170136245,0.16746480699497407,4.831646001392903e-12,7.438603791256493e-12,1.532731074175179e-11,8.687052250559255e-13
2024-06-05,0.5216761760434954,0.31085901667837224,0.16746480727616556,3.315693677498551e-13,5.318577412088624e-13,1.0447090163804896e-12,5.858010438716125e-14
2024-06-06,0.6180929045457757,0.2165462523051138,0.16536084310132046,6.488300785519412e-12,1.4410890087446374e-11,2.3176134728433053e-11,3.714724856136905e-12
2024-06-07,0.6180929046090703,0.21654625226792784,0.16536084308615626,5.185915974407152e-12,1.139065738730346e-11,1.734279207747347e-11,2.926352584789649e-12
2024-06-10,0.6180929048216658,0.21654625211629583,0.16536084303718557,6.280443426905426e-12,8.817173986324603e-12,7.173916433839075e-12,2.581373746377212e-12
2024-06-11,0.618092904814009,0.21654625214613227,0.16536084302811088,2.6363048057358577e-12,3.867160726732704e-12,4.110715266926134e-12,1.1335689363907076e-12
2024-06-12,0.618092904827816,0.2165462521150764,0.16536084302473048,8.41415611932276e-12,1.0584058223968685e-11,1.0380220612772446e-11,2.998752263742393e-12
2024-06-13,0.554579412452363,0.22635252637127876,0.21906806117500813,2.8138031443101556e-13,3.165905480362211e-13,6.525541547101074e-13,9.964226829075092e-14
2024-06-14,0.5545794124530024,0.22635252636756728,0.21906806117741817,3.1798657425170955e-13,4.0934629758291747e-13,1.1701635142321693e-12,1.1469380007390757e-13
2024-06-17,0.5545794125021304,0.22635252621104585,0.2190680612631996,4.700602631246191e-12,6.059620825250212e-12,1.0619026759635943e-11,2.244978450201856e-12
2024-06-18,0.554579412500257,0.22635252614072046,0.21906806132081472,7.342162235573883e-12,1.0022370459958692e-11,1.7313340956480534e-11,3.5300155402093176e-12
2024-06-20,0.5545794124532177,0.22635252637310976,0.21906806117314365,9.877537895807772e-14,1.376560750517981e-13,2.4515904998502355e-13,4.7349309217198985e-14
2024-06-21,0.5545794124489806,0.2263525263737691,0.219068061175808,2.606493252480713e-13,3.102907813908817e-13,7.784997865270027e-13,9.297255109736645e-14
2024-06-24,0.5545794124492237,0.22635252637325687,0.21906806117626726,2.8046979225612474e-13,2.718106747367238e-13,6.174412215333872e-13,8.251443478823474e-14
